floor_area,number_of_floors,window_to_wall_ratio,wall_thickness,avg_temperature,avg_humidity,solar_radiation,thermal_resistance,estimated_energy_usage,daylight_factor,thermal_load
150.8,2,0.11,0.3,-9.4,58,675,0.08,17351.2,0.74,-4398.1
138.1,3,0.41,0.28,33.8,64,462,0.02,285077.8,1.89,1902
123.7,2,0.31,0.36,32.9,44,420,3.24,1469.3,1.3,1078.7
88.4,3,0.32,0.33,32.4,56,662,3.58,947,2.12,703.7
62,3,0.15,0.23,11,63,539,0.08,9613.4,0.81,-553.5
296.2,2,0.27,0.28,8.5,65,737,0.05,62107.2,1.99,-3389.3
143.9,2,0.33,0.3,30,69,246,3.18,1594.5,0.81,981.4
285.2,1,0.47,0.31,16.6,39,374,6.32,946,1.76,-356.8
82.8,1,0.46,0.47,2.9,79,757,3.48,107,3.48,-923.2
255.6,1,0.5,0.29,17.4,22,442,3.42,1666.8,2.21,-437.3
236.9,3,0.26,0.5,19.8,79,797,3.69,1494.2,2.07,-29.9
277.4,3,0.44,0.45,26.7,60,552,6.04,1527,2.43,736
249.5,3,0.5,0.42,25.9,68,882,3.02,2765.8,4.41,1027.5
171.8,3,0.29,0.45,28.4,61,936,5.15,1120.5,2.71,699.9
58.1,2,0.21,0.39,-5.6,38,730,5.72,54.7,1.53,-636.6
209.6,3,0.38,0.42,28,61,581,6.1,1168.7,2.21,654
169.1,2,0.34,0.49,28.2,29,833,3.18,1806.3,2.83,945.7
97.7,1,0.21,0.29,-1,79,262,3.78,21.1,0.55,-1276.2
140.3,2,0.26,0.24,34.1,38,860,3.64,1522.7,2.24,1258.2
232.3,2,0.24,0.36,-0.9,48,813,3.04,7.4,1.95,-3379.1
93.3,2,0.22,0.21,-3.8,48,888,3.22,93.7,1.95,-1505.5
132.3,3,0.22,0.41,3.4,61,361,3.26,169.4,0.79,-1480.2
53.3,1,0.37,0.44,34.1,66,658,3.15,696.9,2.43,514.8
160.8,1,0.16,0.46,22.1,54,260,3.5,1109.5,0.42,219.5
74.1,3,0.44,0.48,-6.8,48,191,3.51,170.2,0.84,-1288.8
261.7,3,0.15,0.24,-1.1,79,859,3.6,18.8,1.29,-3534
279.1,1,0.11,0.49,13.9,40,513,5.54,766,0.56,-759.3
230.3,1,0.13,0.43,22.5,30,777,5.72,998.1,1.01,246.4
66.5,1,0.43,0.23,24.1,52,300,3.23,610.4,1.29,184.6
285,1,0.42,0.23,9.8,24,534,3.76,947.8,2.24,-1814
166.1,3,0.35,0.34,10.6,72,564,0.08,27235.6,1.97,-1548.8
162.8,1,0.46,0.34,3.6,60,749,3.66,237.9,3.45,-1692.7
97.8,3,0.38,0.23,22.4,71,230,3.6,731.6,0.87,150.2
293.5,2,0.33,0.43,9.5,36,581,3.46,996.2,1.92,-2015.5
297.9,3,0.42,0.31,30.4,53,912,5.82,1939.3,3.83,1295
98.6,1,0.12,0.46,-9.1,52,572,0.05,17826.2,0.69,-2854.9
223.6,1,0.1,0.23,-6.8,67,299,3.12,489.2,0.3,-4122.8
126.1,2,0.15,0.28,11.5,42,177,3.51,451,0.27,-695.6
79.1,1,0.33,0.42,11.4,22,950,5.22,218,3.14,-325.2
137.3,1,0.11,0.45,-3,35,681,6.43,52.2,0.75,-1127.4
56.5,3,0.26,0.27,11.6,33,371,3.47,220.3,0.96,-309.9
211.2,2,0.36,0.49,22.6,55,342,5.47,1045.2,1.23,248.8
77.1,1,0.23,0.48,6.9,50,645,3.29,197.1,1.48,-677.7
166,1,0.14,0.21,25.4,30,868,3.76,1240.9,1.22,559.4
284.7,3,0.25,0.29,12.4,23,127,3.23,1242.2,0.32,-1464.8
102.5,2,0.17,0.47,15.5,57,771,0.07,25850.6,1.31,-458
83.1,3,0.17,0.42,7.4,55,339,3.33,209.5,0.58,-698.4
59.8,3,0.36,0.48,18.9,79,766,6.07,228.6,2.76,-25.9
60.3,1,0.18,0.41,24.2,61,356,0.05,32279.8,0.64,252
158.2,3,0.49,0.33,-1.3,78,658,6.17,20.5,3.22,-1290.6
132.2,3,0.43,0.43,24.2,79,208,5.22,751.1,0.89,265.4
124.3,2,0.28,0.26,29.5,45,259,3.23,1305.5,0.73,799.4
199,1,0.43,0.31,24.9,78,545,3.1,1984.6,2.34,672.8
160,3,0.5,0.35,31.6,55,197,3.79,1677.9,0.98,1152.6
237.8,2,0.34,0.43,-0.7,26,830,3.7,9.8,2.82,-3101.1
269.9,3,0.38,0.38,-7.1,73,544,3.01,699.6,2.07,-5112.7
285.7,2,0.47,0.44,-5.5,30,326,5.65,323.1,1.53,-3169.1
235.7,2,0.34,0.35,29,22,167,3.18,2529.4,0.57,1446.7
272.4,3,0.27,0.43,-5.5,44,249,3.63,447.2,0.67,-4424.7
152.8,1,0.13,0.29,6.2,20,157,3.55,291.4,0.2,-1360.1
146.8,1,0.25,0.43,20.5,74,832,3.01,1170.4,2.08,51.3
52.5,2,0.46,0.3,27.7,44,654,3.79,483.1,3.01,251
116.8,2,0.16,0.45,-5.8,29,549,3.12,212.3,0.88,-2073.2
96.3,2,0.21,0.21,17.4,50,744,3.28,588.6,1.56,-168.3
208.7,3,0.34,0.5,30.9,29,581,3.04,2528.6,1.98,1583.3
159.2,3,0.31,0.3,18.8,70,588,6.13,581.6,1.82,-73.9
260.7,3,0.2,0.47,-4.3,40,790,5.23,192.5,1.58,-3021.8
219.9,2,0.34,0.25,-9.4,44,932,3.21,678.7,3.17,-4389.8
227.5,2,0.48,0.45,23.3,68,896,6.08,1122.6,4.3,294.3
169.3,2,0.41,0.5,3.7,24,160,3.63,216.9,0.66,-1757.9
82.2,1,0.29,0.48,-1.8,66,621,3.12,35.6,1.8,-1232.9
94.1,1,0.21,0.36,4.4,55,327,3.12,157.5,0.69,-1010
166.9,2,0.2,0.33,11,57,366,3.58,582.9,0.73,-964.3
185.1,2,0.45,0.38,13.3,62,742,3.5,909.7,3.34,-806.1
293.7,1,0.45,0.31,-0.8,58,438,3.02,43.1,1.97,-4264.1
174.6,2,0.2,0.25,-9.3,38,233,3.75,464.4,0.47,-3197.4
118.9,3,0.17,0.35,22.8,24,208,5.62,528.1,0.35,145.8
264.4,2,0.24,0.5,11.9,48,409,3.02,1207,0.98,-1494.9
105,1,0.4,0.49,2.8,44,969,6.46,73.5,3.88,-639.3
289.2,1,0.29,0.33,14,32,195,3.15,1492.2,0.57,-1188.6
221.2,1,0.1,0.32,26.3,45,875,0.03,210388.8,0.88,1389.4
270.4,1,0.48,0.33,12.3,54,562,3.58,1204.6,2.7,-1336.7
80.8,2,0.28,0.29,12.3,75,933,3.53,345.3,2.61,-402.5
180.3,3,0.28,0.38,26.2,21,399,3.18,1719.2,1.12,762.4
157.1,3,0.25,0.36,-1,22,744,3.74,12.1,1.86,-2065.2
254.8,3,0.38,0.38,26.7,44,521,6.06,1362,1.98,672.6
286.4,3,0.48,0.45,-2.2,65,826,5.13,95.1,3.96,-3096.4
247.9,1,0.34,0.28,-1.3,36,436,0.01,25059.7,1.48,-5275
199.1,3,0.45,0.2,0.9,71,220,0.01,27316.5,0.99,-3799
275.1,1,0.49,0.4,14.2,57,796,3.65,1407.2,3.9,-1013.2
107.2,1,0.19,0.28,29.4,31,705,0.02,176692.3,1.34,1005.7
67.4,3,0.42,0.22,18.6,66,147,3.09,494.8,0.62,-65.2
122.1,1,0.5,0.29,5.1,64,287,3.28,250.7,1.44,-1222.6
264.6,3,0.3,0.42,0.2,64,979,3.22,111.4,2.94,-3552.1
202.3,1,0.29,0.38,20.7,28,316,3.54,1375.1,0.92,91.5
246.2,1,0.15,0.42,21.5,46,258,5.32,1082.4,0.39,172.8
69.1,2,0.25,0.38,29.2,20,801,0.07,33317.2,2,631.3
256.8,3,0.36,0.21,29.1,53,683,3.74,2413.1,2.46,1462.9
131.8,1,0.29,0.2,5.9,42,721,3.65,273.7,2.09,-1180.1
109.1,1,0.21,0.2,23.4,26,906,0.07,41860.3,1.9,368.3
80.8,3,0.24,0.45,11,57,788,3.21,332.3,1.89,-493.8
238.6,2,0.43,0.21,-4.7,63,192,5.29,247,0.83,-2775.8
287.8,2,0.13,0.44,-6.1,58,918,3.52,451.2,1.19,-4867.5
226.2,2,0.48,0.32,10.4,41,621,3.05,1013.5,2.98,-1509.2
84.4,3,0.46,0.26,21.3,60,976,3.16,731.8,4.49,75
65.4,1,0.3,0.35,-6.5,62,530,3.28,136.9,1.59,-1164.6
216.5,3,0.18,0.4,12.6,38,791,3.22,981.4,1.42,-1086.2
234.7,3,0.1,0.35,-7.4,71,651,3.28,507.1,0.65,-4321.5
230.1,1,0.13,0.42,18.1,66,521,3.15,1448.6,0.68,-299.5
57.9,2,0.44,0.31,-0.1,24,292,6.11,2.2,1.28,-452.7
159.6,3,0.25,0.4,5.1,70,507,0.04,25168.4,1.27,-2368.5
159.2,3,0.13,0.2,20.7,31,176,3.58,988.7,0.23,71.5
194,1,0.34,0.39,19.8,42,498,3.56,1294.2,1.69,-25
168.4,3,0.15,0.38,-8.5,21,235,5.78,258.9,0.35,-2025.3
279,2,0.35,0.27,5.5,34,157,3.21,577.7,0.55,-2746.9
296.8,2,0.42,0.44,23.3,79,809,5.7,1519,3.4,421.2
112.8,2,0.28,0.41,1.5,24,458,0.04,6294.6,1.28,-2078.5
55.2,2,0.42,0.36,20.8,58,325,0.01,141098.1,1.36,44.1
56.5,1,0.43,0.34,31.1,34,291,3.73,577.7,1.25,393.2
247.4,2,0.3,0.38,34.9,74,999,0.07,145908.9,3,3660.5
224.7,2,0.37,0.46,30.6,41,348,3.01,2737.7,1.29,1664.9
144.7,3,0.31,0.35,-9.9,35,873,5.78,261,2.71,-1825.8
162.8,3,0.34,0.27,7,44,135,5.41,251.2,0.46,-971.4
246.1,2,0.13,0.3,12.2,34,886,3.69,929.5,1.15,-1211.3
64.9,2,0.15,0.47,29.2,53,258,3.12,658.7,0.39,410.8
193.2,2,0.27,0.31,0.1,39,802,3.24,61,2.17,-2599
292,1,0.47,0.39,10.4,34,318,0.07,55216.1,1.49,-2783.6
173.2,1,0.19,0.33,21,37,479,3.63,1122.2,0.91,110.3
278.3,2,0.31,0.23,20.9,78,619,6.48,1067.4,1.92,88.2
281.6,1,0.45,0.42,-2.6,78,146,5.38,157.3,0.66,-2940.2
255.2,1,0.4,0.47,16.4,71,471,3.77,1370.4,1.88,-572.4
161.3,3,0.36,0.45,31.4,53,258,3.19,1888.9,0.93,1252.2
202.4,1,0.28,0.21,22.7,41,448,0.03,178035.9,1.25,544.8
125.3,3,0.33,0.27,-3.4,26,293,3.55,127.8,0.97,-1891.2
132.5,3,0.12,0.3,22.4,42,914,3.6,909.6,1.1,203.5
171.8,2,0.2,0.45,24.8,46,979,3.14,1551.5,1.96,565.7
72.2,3,0.25,0.41,21.6,41,217,3.75,472.6,0.54,72.2
190.7,1,0.28,0.32,30.6,26,366,0.06,112199.1,1.02,2009.3
212.6,2,0.32,0.5,2,57,104,3.31,156.8,0.33,-2560.1
289.7,3,0.48,0.39,30.8,24,452,0.01,1122659.3,2.17,3125.6
134,2,0.22,0.43,5.5,40,577,3.14,287.9,1.27,-1332.9
182.7,2,0.35,0.25,6.6,77,364,3.6,415.3,1.27,-1566.8
273.5,3,0.15,0.43,6.5,41,844,3.7,583.6,1.27,-2326.1
170,1,0.15,0.43,31.8,31,665,3.28,1808.8,1,1348
151.7,2,0.5,0.33,13,23,908,3.47,760,4.54,-693.4
239.5,3,0.39,0.37,-7.8,35,159,3.77,580.1,0.62,-4148
288.2,3,0.43,0.29,1.9,75,602,0.09,9734.5,2.59,-5169.5
292.4,2,0.41,0.34,30.6,45,297,3.01,3616.7,1.22,2166.5
221.5,1,0.35,0.32,11.2,43,660,3.23,955.6,2.31,-1319.6
236.7,3,0.44,0.23,-1.2,38,702,5.59,25.7,3.09,-2213
278.2,3,0.11,0.47,22.2,46,698,6.34,1060,0.77,224
105.5,3,0.28,0.42,1.4,23,525,3.43,67.5,1.47,-1289.2
126.9,1,0.4,0.3,-8.4,76,840,3.44,334.7,3.36,-2364.2
289.8,2,0.4,0.45,29.2,53,692,3.57,2911.8,2.77,1714.3
67.6,2,0.42,0.43,10.4,36,508,3.54,252,2.13,-419.2
187.2,2,0.32,0.45,-4.1,27,168,3.01,283.7,0.54,-3153.6
77.5,1,0.1,0.39,34.9,30,741,3.68,788.1,0.74,729.8
246.1,3,0.37,0.48,7.1,55,201,0.02,106459,0.74,-3168.3
297.7,2,0.34,0.35,-4.7,20,132,5.91,269.2,0.45,-3007.5
163.9,1,0.26,0.48,14.1,56,703,3.32,825.8,1.83,-646
82.8,2,0.48,0.43,-0.1,54,872,3.03,26.2,4.19,-1160
146.4,1,0.44,0.45,31.3,67,231,3.37,1671.1,1.02,1096.8
69.6,2,0.28,0.33,33.3,65,860,5.88,461,2.41,381.4
89.5,2,0.21,0.37,24.2,73,655,0.02,122904.9,1.38,375.1
168.7,3,0.26,0.23,-9.5,70,721,3.18,526.3,1.87,-3394.1
156.6,1,0.43,0.21,6.7,32,599,3.62,383.6,2.58,-1328.8
145.4,3,0.19,0.2,4,58,957,3.56,221.7,1.82,-1498.2
68.5,2,0.31,0.24,33.7,67,253,3.19,842.1,0.78,639.1
126.8,3,0.35,0.42,-7.1,34,131,0.02,51915.6,0.46,-3429.4
205.4,2,0.32,0.21,32.9,24,233,3.11,2538.4,0.75,1825.6
228.3,2,0.13,0.48,33.8,69,453,3.37,2471.3,0.59,2088.8
118.5,1,0.42,0.45,-4.9,64,754,3.04,195.6,3.17,-2053.7
136.3,3,0.29,0.36,34.7,44,703,3.07,1799.7,2.04,1388.5
248,3,0.28,0.36,23.3,29,952,3.77,1818.7,2.67,509.9
57.2,3,0.17,0.48,24.9,60,875,3.62,441.9,1.49,178.8
145.7,1,0.11,0.22,-5.6,64,854,0.08,9119.1,0.94,-3700.1
75.7,3,0.4,0.39,6.7,34,367,3.07,209.1,1.47,-697.7
156.4,2,0.27,0.25,33.9,60,630,3.13,1958.3,1.7,1493.5
150.3,2,0.14,0.43,-3.2,77,712,5.06,79.1,1,-1722.6
56.7,1,0.28,0.21,18.4,71,274,3.74,322.7,0.77,-56.8
73,2,0.47,0.5,10.9,41,466,0.06,17078.4,2.19,-660.3
127,1,0.5,0.4,0.7,66,303,3.02,52.7,1.52,-1710.9
68.4,2,0.34,0.43,31.5,60,667,0.02,128713,2.27,785
284.9,3,0.5,0.29,10,27,736,3.19,1198.5,3.68,-1940.2
125.3,1,0.42,0.3,0.4,42,675,3.17,51.4,2.84,-1677.4
268,3,0.18,0.35,33.6,25,654,3.09,3238.3,1.18,2518.6
154.7,1,0.15,0.46,21.6,67,680,3.12,1187.6,1.02,170.3
87.9,3,0.14,0.48,-5.4,67,477,3.18,145.6,0.67,-1522.7
200.8,2,0.45,0.49,-5.2,61,748,5.17,211.8,3.37,-2444.1
208.4,2,0.22,0.41,12.5,47,287,3.7,799.4,0.63,-984.7
231.4,3,0.3,0.22,-7.1,74,616,3.69,467.6,1.85,-3957
238.2,1,0.49,0.47,18.8,39,434,3.03,1882.5,2.13,-199.2
159,3,0.1,0.29,3.2,63,603,3.15,201.6,0.6,-1829.8
73.3,3,0.12,0.32,5.4,59,212,3.76,116,0.25,-667.8
95,2,0.49,0.25,27.2,36,331,0.01,325622.9,1.62,683.3
134.6,3,0.18,0.37,34.6,42,345,3.28,1563.1,0.62,1320.6
70.2,2,0.14,0.3,9.1,75,568,3.18,228.4,0.8,-521.9
296,1,0.12,0.34,10.3,49,813,3.27,1066.3,0.98,-1932.3
256.4,3,0.23,0.49,-8.2,76,685,3.59,598.4,1.58,-4634.7
151,2,0.35,0.32,-9.3,69,181,0.05,32358.8,0.63,-4402.2
101.8,3,0.11,0.27,24.7,53,153,5.89,453.2,0.17,196.6
261.3,1,0.46,0.33,-9.8,47,236,3.13,982.1,1.09,-5349.5
92.3,2,0.19,0.42,-6.7,24,675,0.08,7611.7,1.28,-2444.7
197.5,1,0.17,0.5,15.8,40,346,0.05,69197.7,0.59,-825.4
283.6,1,0.39,0.22,22.9,48,964,3.14,2575.7,3.76,564.2
53.8,2,0.4,0.24,30.8,36,717,3.56,571.6,2.87,374.2
53,3,0.28,0.22,6.6,27,194,3.18,129.1,0.54,-484.4
209.8,2,0.48,0.43,12.3,26,322,3.1,1059.2,1.55,-1114.7
119.3,1,0.22,0.39,1.9,33,401,6.38,47.8,0.88,-781.7
237.3,3,0.19,0.4,27.8,60,621,5.39,1370.1,1.18,853.3
275.5,3,0.47,0.33,23.5,60,300,3.38,2395.8,1.41,638.3
173.7,1,0.23,0.45,-9.7,49,845,0.04,42874.9,1.94,-5138.3
116.4,2,0.23,0.23,-7.5,64,958,0.03,28302,2.2,-3191.4
139,3,0.42,0.4,13.8,33,559,3.06,789.2,2.35,-598.1
134.5,1,0.34,0.43,22.1,30,517,0.08,44489.1,1.76,280.2
289.3,2,0.17,0.27,-6.2,54,123,3.38,564.4,0.21,-5017.7
209.5,3,0.24,0.45,32.2,73,820,0.06,129130.2,1.97,2540.6
250.3,2,0.21,0.42,17.4,45,907,3.21,1577.4,1.9,-441.9
197.7,1,0.15,0.27,14.5,76,188,0.02,156080.2,0.28,-1085.2
100.8,1,0.3,0.38,8.5,55,529,3.66,286,1.59,-734.9
297.5,1,0.36,0.42,-8.3,61,395,3.11,892.3,1.42,-5800.9
123.6,3,0.14,0.31,14.2,51,255,6.33,302,0.36,-263.1
251.9,1,0.31,0.23,3.1,56,495,3.55,294.6,1.53,-2745.8
262.3,1,0.39,0.43,20.3,65,482,3.16,2061.4,1.88,53.8
156.7,3,0.49,0.33,29.9,76,158,3,1954.7,0.77,1085.9
258.3,3,0.17,0.28,17.9,60,423,3.72,1380.4,0.72,-340.6
141.1,1,0.44,0.42,-1.9,76,711,3.49,58.6,3.13,-2011.6
219.9,3,0.28,0.29,10.5,62,638,6.17,452.5,1.79,-800.1
118.5,2,0.2,0.21,32.8,68,365,6.11,707.5,0.73,590
191.3,3,0.33,0.49,14.9,28,447,3.25,1052.4,1.48,-658.6
63.9,1,0.23,0.37,8.2,49,930,6.19,105.1,2.14,-287.3
136,3,0.21,0.25,3.5,44,312,3.55,161.4,0.66,-1447.4
162.4,3,0.19,0.35,19.5,58,234,3.58,980.2,0.44,-52.1
286,2,0.25,0.4,26.2,66,825,3.22,2700.4,2.06,1202.2
257,1,0.19,0.47,6.2,41,847,3,661,1.61,-2482.6
57.3,3,0.18,0.26,16.8,63,117,3.6,293.5,0.21,-117.4
262.3,2,0.45,0.43,27.2,59,634,3.06,2922.7,2.85,1310.7
134,1,0.11,0.44,0.6,32,793,0.03,6564.3,0.87,-2591.8
179.2,2,0.19,0.33,10.1,76,644,5.32,396.3,1.22,-830.3
233.3,1,0.45,0.44,2.7,77,554,5.01,185.6,2.49,-2014
142.5,1,0.13,0.35,21.5,60,768,3.69,915.8,1,134.9
55.1,1,0.32,0.31,-2.3,55,616,3.66,29.4,1.97,-779
214.9,2,0.37,0.49,-4.1,23,342,3.57,268.1,1.27,-3330.2
271.8,1,0.37,0.39,18.3,24,710,3.1,1975.1,2.63,-318.8
102.3,1,0.2,0.45,34.3,65,870,3.36,1177.9,1.74,971.4
161.9,2,0.25,0.43,-7.8,44,142,5.93,235.2,0.36,-1831.8
175.2,3,0.19,0.44,-9.1,64,160,3.69,464.8,0.3,-3217
282.6,1,0.25,0.28,18.3,58,692,0.04,150950.8,1.73,-478.5
122.4,3,0.11,0.48,31.4,53,745,3.45,1203.2,0.82,914
92.3,2,0.49,0.43,33,76,708,5.22,742.1,3.47,573.6
61.1,1,0.39,0.31,1.8,41,129,3.29,42.8,0.5,-746.2
210,3,0.45,0.26,17.8,27,469,0.04,117492.5,2.11,-460.2
246.6,2,0.21,0.47,17.2,40,561,0.1,48397.5,1.18,-683.6
253.3,3,0.14,0.43,3,32,919,3.15,337.2,1.29,-2949.7
294.4,1,0.41,0.36,12.1,30,600,0.04,112633.8,2.46,-2316.5
288.3,3,0.19,0.26,-0.8,62,545,0.09,894.5,1.04,-5942.7
177.6,3,0.26,0.35,4.3,36,906,0.1,10447.8,2.36,-2760.4
111.4,1,0.19,0.28,31.8,65,227,5.41,722.1,0.43,603.4
245.6,2,0.16,0.34,10.4,29,137,3.19,876.1,0.22,-1605.6
283,3,0.44,0.34,13.9,49,291,3.27,1498.3,1.28,-1161.8
98.5,1,0.34,0.5,3.2,21,277,3.32,120.7,0.94,-1105.4
155.8,2,0.32,0.27,-9.9,67,380,0.05,34410.6,1.22,-4635.1
103.1,3,0.12,0.28,20.5,65,706,3.67,631.5,0.85,32.6
186.6,3,0.24,0.4,-9.6,68,774,3.65,505.4,1.86,-3507.3
158.3,3,0.47,0.25,29.5,44,508,3.04,1929.8,2.39,1046.7
291.3,2,0.22,0.38,-0.3,58,194,5.39,6.4,0.43,-2726.1
109.7,2,0.45,0.27,30.2,43,303,3.52,1164.5,1.36,725.1
112,2,0.23,0.37,1,54,306,3.62,45.1,0.7,-1357.7
229.9,3,0.21,0.42,25.7,27,638,0.05,133817.8,1.34,1303.9
290.1,2,0.11,0.39,15.1,48,765,0.02,242778.5,0.84,-1418.6
293.2,1,0.21,0.26,-2.5,40,146,0.04,19066.6,0.31,-6570.6
298.8,3,0.29,0.31,28.1,68,575,0.09,109005.1,1.67,2398.5
263.4,3,0.14,0.38,-3,38,668,0.07,9389.2,0.94,-6015.8
57.8,3,0.1,0.3,17.2,70,880,3.55,309.1,0.88,-104.4
168.9,1,0.42,0.32,22.2,76,759,3.07,1528.4,3.19,257.5
260.9,2,0.21,0.28,15.9,78,495,3.5,1350.5,1.04,-695.3
238,1,0.45,0.36,25.5,78,814,3.15,2435.5,3.66,896.7
86.6,1,0.37,0.36,2,66,460,3.11,81.2,1.7,-1074
162.7,3,0.44,0.42,3.5,28,528,0.02,39976.7,2.32,-2679.2
255.4,2,0.27,0.44,14.1,49,845,0.07,61889.2,2.28,-1496.3
98.1,3,0.17,0.49,-3.8,75,994,3.6,83,1.69,-1494.3
101.4,2,0.4,0.46,-8.2,52,999,3.71,236.2,4,-1798.6
52,1,0.2,0.3,14.9,58,490,3.15,279.5,0.98,-181.7
75.1,3,0.11,0.41,-5.7,67,325,0.1,4258.6,0.36,-1910.8
217.1,3,0.18,0.47,0.1,54,700,3.19,59.3,1.26,-2942.1
258.2,3,0.33,0.32,-2.9,26,919,3.31,180,3.03,-3955.6
208.9,3,0.25,0.27,28.4,54,708,3.13,2185.5,1.77,1205.5
161.5,3,0.38,0.28,31.6,63,554,3.18,1943.2,2.11,1277.7
150.9,3,0.45,0.25,32.4,43,301,5.7,1060.5,1.35,804.6
251.7,3,0.46,0.44,22,64,607,0.07,99984.6,2.79,499.9
278.2,2,0.2,0.45,9.2,65,436,5.14,573.7,0.87,-1460.2
228.4,3,0.29,0.27,6.9,64,828,3.54,570.9,2.4,-1932.9
97.9,1,0.26,0.32,15.9,34,281,3.6,497.2,0.73,-256.9
88.9,3,0.25,0.24,22,47,486,3.72,604.5,1.22,111.7
218.7,1,0.41,0.44,-7.1,42,565,3.47,496.3,2.32,-3870.2
228.2,1,0.38,0.26,31.3,58,189,0.02,427554.5,0.72,2573.5
200,2,0.3,0.43,23.2,74,381,3.1,1749.6,1.14,441.6
297.9,3,0.46,0.42,-4.7,62,545,5.71,266.6,2.51,-3156.6
77.9,3,0.21,0.48,-3.4,56,690,3.43,68,1.45,-1197.6
67,1,0.29,0.47,-4.7,79,759,3,100.8,2.2,-1158.4
200.6,2,0.34,0.21,0.3,73,322,3.29,44.4,1.09,-2651.7
159.6,1,0.19,0.39,-7.2,56,140,5.87,210.2,0.27,-1792.9
268.2,2,0.34,0.25,13.7,64,200,3.19,1367.3,0.68,-1150.7
276.1,3,0.4,0.46,25.4,63,152,3.29,2573.2,0.61,1000.4
181.7,1,0.16,0.21,31.5,73,239,0.07,88976.2,0.38,2074.9
130,2,0.1,0.39,-7.7,46,347,3.19,314.6,0.35,-2452.3
139.2,2,0.12,0.24,19.7,43,735,5.06,595.9,0.88,-20.6
108.9,3,0.25,0.45,1.2,70,168,6.17,27.2,0.42,-784.1
188.5,2,0.31,0.42,5.2,46,410,0.01,122139.5,1.27,-2787
274.6,3,0.45,0.23,10.7,33,329,5.52,672.1,1.48,-1144.1
181.1,2,0.37,0.35,-7.1,52,856,3.19,420.1,3.17,-3342.2
283.5,2,0.31,0.22,24.4,28,738,5.6,1469.9,2.29,548.9
146.8,3,0.22,0.41,25.2,23,307,3.65,1138.7,0.68,484.7
140.4,3,0.36,0.37,15.4,37,430,5.09,515.2,1.55,-317.1
228.7,1,0.44,0.43,4,29,748,3.73,355.2,3.29,-2294.3
112,3,0.14,0.42,21.8,61,557,3.28,816.8,0.78,135.5
154.3,2,0.2,0.35,29.7,66,745,3.04,1699.8,1.49,1041.7
242.6,1,0.22,0.2,7.6,40,920,5.53,414.9,2.02,-1344.7
225.4,1,0.32,0.23,-5.3,56,166,0.08,16779.5,0.53,-5657
